Start,End,Total duration,Alarm text,Alarm class
01/10/2018 01:35,01/10/2018 06:00,15897,a,S
01/10/2018 03:04,01/10/2018 06:00,10538,b,E
01/10/2018 06:00,01/10/2018 06:00,14,a,S
01/10/2018 06:15,01/10/2018 06:16,71,a,S
01/10/2018 06:15,01/10/2018 06:16,66,c,O
01/10/2018 06:45,01/10/2018 06:50,300,b,E
01/10/2018 06:45,01/10/2018 06:50,300,a,S
01/10/2018 06:54,01/10/2018 07:01,402,a,S
01/10/2018 07:02,01/10/2018 07:02,8,a,S
01/10/2018 07:23,01/10/2018 07:23,3,a,S
01/10/2018 07:46,01/10/2018 07:58,733,a,S
01/10/2018 07:59,01/10/2018 07:59,7,a,S
01/10/2018 08:07,01/10/2018 08:08,60,a,S
01/10/2018 08:07,01/10/2018 08:08,56,c,O
01/10/2018 08:10,01/10/2018 08:13,206,a,S
01/10/2018 08:10,01/10/2018 08:13,201,c,O
01/10/2018 08:45,01/10/2018 09:13,1680,b,E
01/10/2018 08:45,01/10/2018 09:13,1680,a,S
01/10/2018 09:23,01/10/2018 09:29,389,a,S
01/10/2018 09:23,01/10/2018 09:29,385,c,O
01/10/2018 10:35,01/10/2018 10:36,59,a,S
01/10/2018 10:35,01/10/2018 10:36,55,c,O
01/10/2018 10:44,01/10/2018 10:44,38,a,S
01/10/2018 10:44,01/10/2018 10:44,33,c,O
01/10/2018 10:50,01/10/2018 10:50,14,a,S
01/10/2018 10:50,01/10/2018 10:50,10,c,O
01/10/2018 10:53,01/10/2018 10:53,9,a,S
01/10/2018 10:58,01/10/2018 10:59,25,a,S
01/10/2018 11:04,01/10/2018 11:05,55,a,S
01/10/2018 11:04,01/10/2018 11:05,50,c,O
01/10/2018 11:06,01/10/2018 11:06,10,a,S
01/10/2018 11:06,01/10/2018 11:06,5,c,O
01/10/2018 11:14,01/10/2018 11:14,2,a,S
01/10/2018 11:15,01/10/2018 11:15,12,a,S
01/10/2018 11:17,01/10/2018 11:17,2,a,S
01/10/2018 11:21,01/10/2018 11:22,59,a,S
01/10/2018 11:30,01/10/2018 11:45,900,b,E
01/10/2018 11:30,01/10/2018 11:45,900,a,S
01/10/2018 11:48,01/10/2018 11:48,11,a,S
01/10/2018 11:48,01/10/2018 11:48,6,c,O
01/10/2018 11:56,01/10/2018 11:56,22,a,S
01/10/2018 11:56,01/10/2018 11:56,18,c,O
01/10/2018 11:57,01/10/2018 11:57,3,a,S
